title,price,review_count,review_avg
"HP NoteBook 15-DA1009NS Intel Core i5-8265U/8GB/256GB SSD/15.6""",499.0,58,4.0
"Acer Aspire 3 A315-51-59SU Intel Core i5-7200U/12GB/256GB SSD/15.6""",399.0,30,4.0
"Xiaomi Mi Air 13.3""",849.0,638,4.5
"Asus TUF Gaming FX504GD-EN1354 Intel Core i7-8750H/8GB/256GB SSD/GTX 1050/15.6""",699.0,13,4.8
"Asus VivoBook S510QR-BR011 AMD FX-9800P/8GB/256GB SSD/Radeon 535/15.6""",399.0,12,4.0
"Acer Aspire 3 A315-53-55FW Intel Core i5-8250U/12GB/1TB+128GB SSD/15.6""",445.0,30,4.3
"Medion P6685 Intel Core i5-8250U/8GB/1TB+128GB SSD/MX150/15.6""",479.0,33,4.4
"HP Pavilion 15-BC416NS Intel Core i5-8300H/8GB/1TB+128GB SSD/GTX1050/15.6"" Negro",625.0,235,4.4
"MSI PS42 Modern 8MO-208XES Intel Core i5-8265U/16GB/512GB SSD/14""",799.0,21,5.0
"HP NoteBook 15-DB0066NS AMD A4-9125/4GB/128GB SSD/15.6""",209.0,5,4.0
"HP NoteBook 15-DB0158NS Intel Core i3-7100U/8GB/256GB SSD/15.6""",399.0,17,4.0
"HP Pavilion Gaming 15-CX0000NS Intel Core i7-8750H/8GB/1TB/GTX 1050Ti/15.6""",899.0,46,4.3
"Asus R560UD-EJ362 Intel Core i5-8250U/8GB/256 SSD/GTX 1050/15.6""",599.0,26,4.6
"HP OMEN 15-DC0015NS Intel Core i7-8750H/16GB/1TB+256GB SSD/GTX 1050Ti/15.6""",959.0,85,4.3
"Asus VivoBook S430FN-EB136T Intel Core i5-8265U/8GB/256GB SSD/MX150/14""",749.0,38,4.5
"Medion Akoya S6445 MD61353 Intel Core i5-8265U/8GB/256GB SSD/15.6""",499.0,3,4.3
"Asus ZenBook UX430UA-GV257 Intel Core i5-8250U/8GB/256GB SSD/14""",599.0,1,5.0
"MSI GP75 Leopard 9SF-1037XES Intel Core i7-9750H/16GB/1TB SSD/RTX 2070/17.3""",1599.0,1,5.0
"
Medion Akoya S6445 Intel Core i5-8265U/4GB/128GB SSD/15.6""
",399.0,10,4.1
"
MSI GL73 8SE-008XES Intel Core i7-8750H/16GB/1TB+256GB SSD/RTX 2060/17.3""
",1349.0,17,4.9
"
Lenovo Ideapad S145 AMD A6-9225/4GB/128GB SSD/15.6""
",229.0,24,4.2
"
Dell Vostro 5581 Intel Core i5-8265U/8GB/256GB SSD/15.6""
",699.0,2,4.5
"
HP NoteBook 15-DA1006NS Intel Core i7-8565U/16GB/512GB SSD/MX130/15.6""
",999.0,6,4.8
"
HP NoteBook 15-DA1008NS Intel Core i5-8265U/8GB/1TB+128GB SSD/MX110/15.6""
",559.0,8,4.6
"
Asus VivoBook S430FN-EB136T Intel Core i5-8265U/8GB/256GB SSD/MX150/14"" Reacondicionado
",699.0,2,5.0
"
Asus ZenBook UX410UA-GV036 Intel Core i7-7500U/8GB/256GB SSD/14""
",599.0,16,4.2
"
Medion P6645 Intel Core i5-8265U/8GB/1TB+128GB SSD/MX150/15.6""
",529.0,10,3.3
"
Asus ZenBook UX410UA-GV036T Intel Core i7-7500U/8GB/256GB SSD/14""
",679.0,11,4.6
"
HP Pavilion 15-BC400NS Intel Core i5-8250U/8GB/1TB/GTX 1050M/15.6""
",489.0,78,4.4
"
Medion Erazer P6705 Intel Core i5-8300H/8GB/1TB+256GB SSD/GTX1050Ti/15.6""
",689.0,22,4.0
"
MSI PS42 Modern 8RA-280XES Intel Core i7-8565U/16GB/512GB SSD/MX250/14""
",999.0,4,4.8
"
MSI GL63 8RCS-049XES Intel Core i5-8300H/8GB/512GB SSD/GTX 1050/15.6""
",749.0,16,4.2
"
Acer Aspire 5 A515-52-72ZY Intel Core i7-8565U/8GB/1TB+128GB SSD/MX130/15.6""
",699.0,9,4.0
"
Lenovo Ideapad 530S-14IKB Intel Core i5-8250U/8GB/256GB SSD/MX130/14""
",820.0,39,4.5
"
HP OMEN 15-DC0046NS Intel Core i7-8750H/16GB/1TB+512GB SSD/GTX 1050Ti/15.6""
",1199.0,22,4.5
"
Lenovo Ideapad 330-15IKBR Intel Core i5-8250U/4GB/128SSD/15.6""
",419.0,8,4.5
"
Medion Akoya S6445 Intel Core i3-8145U/4GB/128GB SSD/15.6""
",349.0,3,5.0
"
Acer Aspire 7 A715-72G-51XK Intel Core i5-8300H/8GB/128GB SSD+1TB/GTX1050/15.6""
",549.0,1,4.0
"
Lenovo Ideapad 330-15IKB Intel Core i5-8250U/4GB/128GB SSD/15.6""
",379.0,3,4.0
"
Lenovo Ideapad 330 Intel Core i7-8750H/16GB/1TB+256 SSD/GTX 1050/15.6""
",999.0,205,4.2
"
MSI GS63 Stealth 8RD-062XES Intel Core i7-8750H/16GB/512SSD/GTX1050Ti/15.6""
",999.0,3,4.3
"
Toshiba Satellite Pro R50-C-1E8 Intel Celeron 3855U/4GB/128GB SSD/15.6"" W10 Pro
",289.0,34,4.4
"
Lenovo Ideapad 330-15IKB Intel Core i3-7020U/8GB/1TB/15.6""
",439.0,9,4.2
"
Apple MacBook Air Intel Core i5/8GB/128GB SSD/13"" Plateado
",899.0,137,4.6
